"RHQ576U.Code.or.Value","RHQ576U.Value.Description","RHQ576U.Count","RHQ576U.Cumulative","RHQ576U.Skip.to.Item"
"1","Months",20,20,NA
"2","Years",58,78,NA
"7","Refused",0,78,NA
"9","Don't know",0,78,NA
".","Missing",3540,3618,NA
